จังหวัด,เนื้อที่เพาะปลูก(ไร่),เนื้อที่เก็บเกี่ยว(ไร่),ผลผลิต(ตัน),ผลผลิต/เนื้อที่เก็บเกี่ยว (ก.ก.)
กาฬสินธุ์,"1,442,455","1,257,993","463,041",368.08
ขอนแก่น,"2,338,159","2,086,468","715,356",342.86
ชัยภูมิ,"1,541,640","1,426,790","529,705",371.26
นครพนม,"1,342,161","1,193,357","441,649",370.09
นครราชสีมา,"3,479,166","3,293,027","1,191,036",361.68
บึงกาฬ,"480,528","466,743","147,958",317
บุรีรัมย์,"2,742,248","2,557,463","960,005",375.37
มหาสารคาม,"2,057,752","1,795,034","639,325",356.16
มุกดาหาร,"492,127","458,062","174,579",381.13
ยโสธร,"1,325,697","1,162,554","413,420",355.61
ร้อยเอ็ด,"3,075,165","2,559,916","972,215",379.78
ศรีสะเกษ,"3,000,750","2,781,252","1,016,850",365.61
สกลนคร,"2,120,975","1,727,322","603,511",349.39
สุรินทร์,"3,009,967","2,907,781","1,100,917",378.61
หนองคาย,"522,224","507,668","190,222",374.7
หนองบัวลำภู,"647,685","627,990","217,146",345.78
อำนาจเจริญ,"971,087","923,609","324,963",351.84
อุดรธานี,"1,734,452","1,600,668","615,656",384.62
อุบลราชธานี,"3,898,428","3,756,344","1,313,057",349.56
เลย,"413,850","402,769","158,714",394.06
