Year,Month,ProvinceID,ProvinceName,Tmax,Tmin
2018,1,10,กรุงเทพมหานคร,35.5,18
2018,1,11,สมุทรปราการ,36,18.4
2018,1,13,ปทุมธานี,35.6,18
2018,1,14,พระนครศรีอยุธยา,35.5,15.4
2018,1,16,ลพบุรี,36.2,14.7
2018,1,18,ชัยนาท,34.1,15.8
2018,1,20,ชลบุรี,35.5,18
2018,1,21,ระยอง,34.7,18.5
2018,1,22,จันทบุรี,35.3,18
2018,1,23,ตราด,33.3,17.8
2018,1,24,ฉะเชิงเทรา,35.5,15
2018,1,25,ปราจีนบุรี,36.1,17
2018,1,27,สระแก้ว,35.7,15.6
2018,1,30,นครราชสีมา,36.6,13.7
2018,1,31,บุรีรัมย์,35.6,12
2018,1,32,สุรินทร์,35.5,12.5
2018,1,33,ศรีสะเกษ,35.6,13.8
2018,1,34,อุบลราชธานี,36.7,13.5
2018,1,36,ชัยภูมิ,34.8,15.6
2018,1,39,หนองบัวลำภู,34.6,12.3
2018,1,40,ขอนแก่น,34.9,13.3
2018,1,41,อุดรธานี,34.6,12.5
2018,1,42,เลย,34.3,12
2018,1,43,หนองคาย,33.2,10
2018,1,44,มหาสารคาม,35.1,13.4
2018,1,45,ร้อยเอ็ด,34.5,11.9
2018,1,46,กาฬสินธุ์,33.7,12.2
2018,1,47,สกลนคร,35,9.9
2018,1,48,นครพนม,33.6,9.6
2018,1,49,มุกดาหาร,35.1,12.9
2018,1,50,เชียงใหม่,33.6,5.5
2018,1,51,ลำพูน,34.7,11.5
2018,1,52,ลำปาง,36.3,12.5
2018,1,53,อุตรดิตถ์,35.6,16.5
2018,1,54,แพร่,34.5,14.2
2018,1,55,น่าน,34.1,10.5
2018,1,56,พะเยา,33.5,12.2
2018,1,57,เชียงราย,32,9.7
2018,1,58,แม่ฮ่องสอน,34.5,9.3
2018,1,60,นครสวรรค์,36,14.6
2018,1,62,กำแพงเพชร,35.1,15.2
2018,1,63,ตาก,36,10.2
2018,1,64,สุโขทัย,34.7,15.7
2018,1,65,พิษณุโลก,34.7,16.6
2018,1,66,พิจิตร,34.5,17
2018,1,67,เพชรบูรณ์,36.5,14.8
2018,1,70,ราชบุรี,35.1,16.3
2018,1,71,กาญจนบุรี,37,14
2018,1,72,สุพรรณบุรี,35.1,16.3
2018,1,73,นครปฐม,35,15.6
2018,1,76,เพชรบุรี,33.6,18.5
2018,1,77,ประจวบคีรีขันธ์,34.3,15.6
2018,1,80,นครศรีธรรมราช,34.6,20.1
2018,1,81,กระบี่,35.2,18.6
2018,1,82,พังงา,33,21.5
2018,1,83,ภูเก็ต,34.2,19.5
2018,1,85,ระนอง,33.2,19.9
2018,1,86,ชุมพร,33,19
2018,1,90,สงขลา,33.9,20.2
2018,1,91,สตูล,34,21.4
2018,1,92,ตรัง,34,22
2018,1,93,พัทลุง,32.2,22.1
2018,1,94,ปัตตานี,33.1,21.5
2018,1,95,ยะลา,33.3,21.1
2018,1,96,นราธิวาส,33.1,19.5
2018,2,10,กรุงเทพมหานคร,35.7,19.2
2018,2,11,สมุทรปราการ,33.8,18.8
2018,2,13,ปทุมธานี,37,18.5
2018,2,14,พระนครศรีอยุธยา,36.3,15.6
2018,2,16,ลพบุรี,37.2,15.2
2018,2,18,ชัยนาท,35,17.1
2018,2,20,ชลบุรี,36.5,17.3
2018,2,21,ระยอง,33.5,19
2018,2,22,จันทบุรี,34.2,16
2018,2,23,ตราด,34,18.5
2018,2,24,ฉะเชิงเทรา,35.3,15.6
2018,2,25,ปราจีนบุรี,36.2,16.6
2018,2,27,สระแก้ว,36.8,16
2018,2,30,นครราชสีมา,37.7,12.7
2018,2,31,บุรีรัมย์,37.5,11.3
2018,2,32,สุรินทร์,37.3,11.2
2018,2,33,ศรีสะเกษ,37,12.1
2018,2,34,อุบลราชธานี,37.4,11.6
2018,2,36,ชัยภูมิ,37.8,12.6
2018,2,39,หนองบัวลำภู,37,11.8
2018,2,40,ขอนแก่น,37.2,10.4
2018,2,41,อุดรธานี,36.7,11.6
2018,2,42,เลย,36.3,12
2018,2,43,หนองคาย,36.2,12.8
2018,2,44,มหาสารคาม,36.6,11.6
2018,2,45,ร้อยเอ็ด,37,10.9
2018,2,46,กาฬสินธุ์,35.3,11.3
2018,2,47,สกลนคร,36.8,10.2
2018,2,48,นครพนม,36,11
2018,2,49,มุกดาหาร,36.5,11.5
2018,2,50,เชียงใหม่,36.1,11.4
2018,2,51,ลำพูน,36.6,12.1
2018,2,52,ลำปาง,38,13.5
2018,2,53,อุตรดิตถ์,36.8,17
2018,2,54,แพร่,35.8,15.5
2018,2,55,น่าน,35.7,11.9
2018,2,56,พะเยา,34.3,13.4
2018,2,57,เชียงราย,33.5,11
2018,2,58,แม่ฮ่องสอน,37.3,8.4
2018,2,60,นครสวรรค์,37,15.3
2018,2,62,กำแพงเพชร,36.6,16.5
2018,2,63,ตาก,37.7,9.9
2018,2,64,สุโขทัย,35.8,15.9
2018,2,65,พิษณุโลก,34.9,17.5
2018,2,66,พิจิตร,35.1,17
2018,2,67,เพชรบูรณ์,37.7,15
2018,2,70,ราชบุรี,36.3,17.7
2018,2,71,กาญจนบุรี,38,16.8
2018,2,72,สุพรรณบุรี,35.9,16.5
2018,2,73,นครปฐม,36,16.2
2018,2,76,เพชรบุรี,34.4,19.1
2018,2,77,ประจวบคีรีขันธ์,35.2,16.8
2018,2,80,นครศรีธรรมราช,36.3,19
2018,2,81,กระบี่,36.6,17.8
2018,2,82,พังงา,34.2,21
2018,2,83,ภูเก็ต,35.6,21.4
2018,2,85,ระนอง,34.9,19.5
2018,2,86,ชุมพร,34.8,19.8
2018,2,90,สงขลา,35.1,18.2
2018,2,91,สตูล,36.8,19.8
2018,2,92,ตรัง,36.4,19.4
2018,2,93,พัทลุง,33.2,20.9
2018,2,94,ปัตตานี,34.7,18.8
2018,2,95,ยะลา,35.6,17.4
2018,2,96,นราธิวาส,33.5,17.7
2018,3,10,กรุงเทพมหานคร,36,22.1
2018,3,11,สมุทรปราการ,33.2,24.6
2018,3,13,ปทุมธานี,38.3,21.5
2018,3,14,พระนครศรีอยุธยา,37,20
2018,3,16,ลพบุรี,38.5,18.5
2018,3,18,ชัยนาท,36.5,20.8
2018,3,20,ชลบุรี,37,20
2018,3,21,ระยอง,33.6,22
2018,3,22,จันทบุรี,35.4,19.2
2018,3,23,ตราด,34.3,22.2
2018,3,24,ฉะเชิงเทรา,36,19.4
2018,3,25,ปราจีนบุรี,36.8,20.6
2018,3,27,สระแก้ว,37.5,20.1
2018,3,30,นครราชสีมา,38.2,17.8
2018,3,31,บุรีรัมย์,38,16.4
2018,3,32,สุรินทร์,38,16.8
2018,3,33,ศรีสะเกษ,36,16.5
2018,3,34,อุบลราชธานี,37.1,16
2018,3,36,ชัยภูมิ,38.6,19.8
2018,3,40,ขอนแก่น,38,16.5
2018,3,41,อุดรธานี,38.1,15.6
2018,3,42,เลย,38.4,15.5
2018,3,43,หนองคาย,38.2,16.3
2018,3,44,มหาสารคาม,38,17.7
2018,3,45,ร้อยเอ็ด,36.6,17
2018,3,46,กาฬสินธุ์,37.2,17.1
2018,3,47,สกลนคร,35.4,15.2
2018,3,48,นครพนม,35.7,14.6
2018,3,49,มุกดาหาร,36.3,16.3
2018,3,50,เชียงใหม่,37.5,12.4
2018,3,51,ลำพูน,39,17.4
2018,3,52,ลำปาง,39.9,17.8
2018,3,53,อุตรดิตถ์,38.5,21.3
2018,3,54,แพร่,38.1,19.5
2018,3,55,น่าน,38,15.5
2018,3,56,พะเยา,35.4,15.8
2018,3,57,เชียงราย,34.9,15.9
2018,3,58,แม่ฮ่องสอน,38.8,14.1
2018,3,60,นครสวรรค์,38.9,19.9
2018,3,62,กำแพงเพชร,37.5,20.5
2018,3,63,ตาก,39.8,12.4
2018,3,64,สุโขทัย,37.6,18.8
2018,3,65,พิษณุโลก,37,21.6
2018,3,66,พิจิตร,36.8,21.6
2018,3,67,เพชรบูรณ์,38.7,18.6
2018,3,70,ราชบุรี,37,20
2018,3,71,กาญจนบุรี,39.1,18.8
2018,3,72,สุพรรณบุรี,37.8,21.2
2018,3,73,นครปฐม,37,21
2018,3,76,เพชรบุรี,36.4,22.2
2018,3,77,ประจวบคีรีขันธ์,37.7,18.3
2018,3,80,นครศรีธรรมราช,37,20.5
2018,3,81,กระบี่,38.7,18.3
2018,3,82,พังงา,33.8,22.2
2018,3,83,ภูเก็ต,37.4,21.5
2018,3,84,สุราษฎร์ธานี,37.5,20.6
2018,3,85,ระนอง,36,22.7
2018,3,86,ชุมพร,34.5,22
2018,3,90,สงขลา,36.2,21
2018,3,91,สตูล,37.3,21.7
2018,3,92,ตรัง,36.7,21.9
2018,3,93,พัทลุง,33.9,23.3
2018,3,94,ปัตตานี,35.3,23
2018,3,95,ยะลา,36.6,22.2
2018,3,96,นราธิวาส,33.5,20.5
2018,4,10,กรุงเทพมหานคร,37.3,22.5
2018,4,11,สมุทรปราการ,33.3,24
2018,4,13,ปทุมธานี,39.5,21.5
2018,4,14,พระนครศรีอยุธยา,37.6,19.3
2018,4,16,ลพบุรี,38.7,19
2018,4,18,ชัยนาท,39,20.5
2018,4,20,ชลบุรี,38.3,21
2018,4,21,ระยอง,34.6,22.3
2018,4,22,จันทบุรี,35.9,20.3
2018,4,23,ตราด,34.3,21.2
2018,4,24,ฉะเชิงเทรา,36.5,18.8
2018,4,25,ปราจีนบุรี,37.9,20.1
2018,4,27,สระแก้ว,38.3,20.5
2018,4,30,นครราชสีมา,39.4,19.1
2018,4,31,บุรีรัมย์,39.3,17.9
2018,4,32,สุรินทร์,39.2,19.1
2018,4,33,ศรีสะเกษ,40.3,18.1
2018,4,34,อุบลราชธานี,40.5,17.7
2018,4,36,ชัยภูมิ,40.6,20
2018,4,40,ขอนแก่น,39.5,17.8
2018,4,41,อุดรธานี,39.1,19.8
2018,4,42,เลย,39.7,17.5
2018,4,43,หนองคาย,41.2,19.4
2018,4,44,มหาสารคาม,40.3,17.8
2018,4,45,ร้อยเอ็ด,40,18.2
2018,4,46,กาฬสินธุ์,38.9,18.1
2018,4,47,สกลนคร,39.5,17.7
2018,4,48,นครพนม,38.9,18.4
2018,4,49,มุกดาหาร,39.6,18
2018,4,50,เชียงใหม่,39.8,14.1
2018,4,51,ลำพูน,39.8,19.9
2018,4,52,ลำปาง,41.6,18.2
2018,4,53,อุตรดิตถ์,39.5,21.2
2018,4,54,แพร่,39.7,19.5
2018,4,55,น่าน,39.2,15.9
2018,4,56,พะเยา,37,16.5
2018,4,57,เชียงราย,36.5,16.2
2018,4,58,แม่ฮ่องสอน,41.2,18.1
2018,4,60,นครสวรรค์,40.3,20.6
2018,4,62,กำแพงเพชร,39.4,21.2
2018,4,63,ตาก,41,14.5
2018,4,64,สุโขทัย,40.5,21
2018,4,65,พิษณุโลก,39.3,21.6
2018,4,66,พิจิตร,38.5,21.8
2018,4,67,เพชรบูรณ์,40.6,19.5
2018,4,70,ราชบุรี,38.5,21.4
2018,4,71,กาญจนบุรี,41.3,20
2018,4,72,สุพรรณบุรี,39.9,21.4
2018,4,73,นครปฐม,38.9,19.5
2018,4,76,เพชรบุรี,37.1,22.5
