จังหวัด,ผลผลิต(ตัน),สัดส่วน,เนื้อที่เก็บเกี่ยว(ไร่),ผลผลิตต่อเนื้อที่เก็บเกี่ยว(กก.)
อุบลราชธานี,"1,406,996",5%,"3,879,360",362.69
นครสวรรค์,"1,359,065",5%,"2,273,197",597.87
นครราชสีมา,"1,101,661",4%,"3,035,540",362.92
สุรินทร์,"1,070,221",4%,"2,862,831",373.83
ร้อยเอ็ด,"1,058,807",4%,"2,882,337",367.34
ศรีสะเกษ,"1,022,953",4%,"2,952,913",346.42
บุรีรัมย์,"937,939",4%,"2,533,848",370.16
พิจิตร,"910,583",4%,"1,515,119",601
สุพรรณบุรี,"909,867",4%,"1,245,326",730.63
พิษณุโลก,"741,372",3%,"1,300,146",570.22
ขอนแก่น,"736,822",3%,"1,929,408",381.89
กำแพงเพชร,"716,253",3%,"1,177,583",608.24
มหาสารคาม,"695,496",3%,"1,976,573",351.87
เชียงราย,"684,166",3%,"1,159,186",590.21
สกลนคร,"671,195",3%,"2,017,384",332.71
อุดรธานี,"643,777",2%,"1,707,369",377.06
เพชรบูรณ์,"595,264",2%,"1,050,270",566.77
สุโขทัย,"585,555",2%,"1,001,294",584.8
ชัยนาท,"554,717",2%,"814,519",681.04
ชัยภูมิ,"534,536",2%,"1,442,837",370.48
กาฬสินธุ์,"498,839",2%,"1,381,780",361.01
อยุธยา,"498,207",2%,"747,501",666.5
นครพนม,"461,162",2%,"1,296,308",355.75
ยโสธร,"448,765",2%,"1,269,025",353.63
ลพบุรี,"406,499",2%,"728,310",558.14
ฉะเชิงเทรา,"402,611",2%,"619,637",649.75
อุตรดิตถ์,"342,255",1%,"566,575",604.08
อำนาจเจริญ,"332,741",1%,"942,802",352.93
พะเยา,"327,239",1%,"599,649",545.72
อุทัยธานี,"317,638",1%,"487,973",650.93
เชียงใหม่,"272,841",1%,"432,768",630.46
กาญจนบุรี,"234,936",1%,"377,456",622.42
อ่างทอง,"233,593",1%,"348,326",670.62
นครปฐม,"229,159",1%,"307,820",744.46
ลำปาง,"228,733",1%,"426,350",536.49
สิงห์บุรี,"227,927",1%,"321,921",708.02
ปทุมธานี,"227,842",1%,"312,488",729.12
หนองบัวลำภู,"220,417",1%,"631,426",349.08
สระแก้ว,"215,779",1%,"656,445",328.71
นครนายก,"210,583",1%,"364,342",577.98
สระบุรี,"209,788",1%,"323,884",647.73
เพชรบุรี,"194,240",1%,"276,924",701.42
หนองคาย,"192,867",1%,"512,168",376.57
มุกดาหาร,"180,565",1%,"479,253",376.76
ปราจีนบุรี,"171,782",1%,"390,351",440.07
แพร่,"167,783",1%,"292,717",573.19
ราชบุรี,"165,478",1%,"240,812",687.17
เลย,"160,204",1%,"405,742",394.84
บึงกาฬ,"149,966",1%,"462,547",324.22
น่าน,"139,972",1%,"266,414",525.39
ตาก,"119,200",0%,"271,881",438.43
สงขลา,"109,436",0%,"208,515",524.84
นครศรีธรรมราช,"95,840",0%,"198,648",482.46
ลำพูน,"72,865",0%,"116,227",626.92
แม่ฮ่องสอน,"70,905",0%,"165,057",429.58
นนทบุรี,"62,437",0%,"89,037",701.25
กรุงเทพมหานคร,"58,689",0%,"86,092",681.7
พัทลุง,"55,388",0%,"131,661",420.69
ชลบุรี,"33,137",0%,"65,349",507.08
ปัตตานี,"26,352",0%,"66,121",398.54
นราธิวาส,"19,233",0%,"42,375",453.88
สมุทรปราการ,"15,845",0%,"20,491",773.27
สตูล,"8,273",0%,"19,194",431.02
ยะลา,"7,702",0%,"21,417",359.62
ตราด,"6,800",0%,"14,904",456.25
ระยอง,"5,183",0%,"10,829",478.62
ประจวบคีรีขันธ์,"5,105",0%,"9,567",533.61
จันทบุรี,"4,904",0%,"13,481",363.77
สุราษฎร์ธานี,"4,799",0%,"11,152",430.33
ตรัง,"4,244",0%,"9,929",427.43
สมุทรสาคร,"3,866",0%,"5,387",717.65
กระบี่,"1,852",0%,"5,414",342.08
ชุมพร,"1,499",0%,"3,374",444.28
สมุทรสงคราม,"1,493",0%,"2,094",712.99
พังงา,964,0%,"2,976",323.92
ระนอง,259,0%,750,345.33
ภูเก็ต,32,0%,62,516.13
